task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,parallel,pop_auto_adapt,500,3,256,40000,8.941380739212036,0.7409298761337655,-1,nan,0,0.2,161.27058823529413,0.5623529411764706,0.9,0.5,0.93,0.6
adaptive_window,random_graph_k25,rls_auto,250,2,256,20000,4.223628520965576,0.8266122923084692,219,0.18181818181818188,1,0.2666666666666666,240.0,0.0,0.965,0.75,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,250,3,256,20000,8.505826950073242,0.8231301449421746,-1,nan,0,0.21000000000000008,240.0,0.0,0.9,0.7,0.905,0.8
adaptive_window,parallel,pop_auto_adapt,500,8,256,40000,8.68375039100647,0.7571819803522524,-1,nan,0,0.34,159.45882352941177,0.5752941176470588,0.91,0.59,0.905,0.61
adaptive_window,parallel,pop_auto_adapt,500,9,256,40000,5.5541722774505615,0.7915027260621592,599,0.19999999999999996,1,0.19999999999999996,164.23529411764707,0.5411764705882353,0.9,0.68,1.0,0.655
adaptive_window,parallel,pop_auto_adapt,500,6,256,40000,9.075832843780518,0.7666051104243612,-1,nan,0,0.32,165.05882352941177,0.5352941176470588,0.9,0.6,0.9,0.635
adaptive_window,parallel,pop_auto_adapt,500,7,256,40000,8.230888843536377,0.7636190045476245,1619,0.27999999999999997,1,0.27999999999999997,160.7764705882353,0.5658823529411765,0.9,0.6,1.0,0.6
adaptive_window,random_graph_k25,rls_auto,250,0,256,20000,8.468872785568237,0.827680420180799,-1,nan,0,0.1333333333333333,240.0,0.0,0.95,0.7,0.9,0.9
adaptive_window,random_graph_k25,rls_auto,250,1,256,20000,8.157636404037476,0.814183627089541,-1,nan,0,0.1416666666666666,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,250,4,256,20000,8.462410926818848,0.819802030200495,-1,nan,0,0.1333333333333333,240.0,0.0,0.9,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,250,5,256,20000,8.200273752212524,0.824443209938892,-1,nan,0,0.1333333333333333,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,pop_auto,250,2,256,20000,4.0109100341796875,0.8498434422503914,219,0.18181818181818188,1,0.2666666666666666,240.0,0.0,1.0,0.755,0.9,0.8
adaptive_window,random_graph_k25,pop_auto,250,3,256,20000,8.130953073501587,0.8403009948992475,-1,nan,0,0.21000000000000008,240.0,0.0,0.9,0.7,0.955,0.86
adaptive_window,random_graph_k25,rls_auto,250,6,256,20000,8.042529344558716,0.8388338972779152,-1,nan,0,0.16666666666666674,240.0,0.0,0.9,0.7,0.9,0.87
adaptive_window,random_graph_k25,rls_auto,250,7,256,20000,8.144024848937988,0.8277814251805465,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.69,0.9,0.82
adaptive_window,random_graph_k25,rls_auto,250,8,256,20000,8.062920808792114,0.8237892025655269,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,250,9,256,20000,7.820740699768066,0.8143376597141558,-1,nan,0,0.06666666666666676,240.0,0.0,0.925,0.71,0.9,0.8
adaptive_window,random_graph_k25,pop_auto,250,0,256,20000,8.1065993309021,0.8529316701176709,-1,nan,0,0.1333333333333333,240.0,0.0,1.0,0.79,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,250,1,256,20000,7.962844371795654,0.8351446896621383,-1,nan,0,0.1416666666666666,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,pop_auto,250,4,256,20000,8.090471982955933,0.8410130801474673,-1,nan,0,0.1333333333333333,240.0,0.0,0.9,0.7,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,250,5,256,20000,8.139291524887085,0.848684409878289,-1,nan,0,0.1333333333333333,240.0,0.0,1.0,0.7,1.0,0.9
adaptive_window,random_graph_k25,pop_auto,250,6,256,20000,8.043542861938477,0.8539846472400384,-1,nan,0,0.16666666666666674,240.0,0.0,0.975,0.71,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,250,7,256,20000,8.067103862762451,0.8409120751477199,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.7,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,250,8,256,20000,8.055090188980103,0.839950002525125,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.7,0.9,0.85
adaptive_window,random_graph_k25,pop_auto,250,9,256,20000,7.908901691436768,0.8269153073077117,-1,nan,0,0.06666666666666676,240.0,0.0,1.0,0.73,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,0,256,20000,7.350321054458618,0.827680420180799,-1,nan,0,0.12,223.2,0.12,0.95,0.7,0.9,0.9
adaptive_window,random_graph_k25,rls_auto_adapt,250,1,256,20000,7.964630126953125,0.814183627089541,-1,nan,0,0.1416666666666666,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,2,256,20000,4.046785116195679,0.8266122923084692,219,0.18181818181818188,1,0.2666666666666666,200.47058823529412,0.2823529411764706,0.965,0.75,0.9,0.8
