task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,4Dshell,24,20.0,256,4,48000,8.130324602127075,0.5430237861132613,0.545,0.545
kernel_capacity,4Dshell,24,20.0,256,5,48000,7.070745229721069,0.55361352272965,0.64,0.5583333333333333
kernel_capacity,4Dshell,24,20.0,256,2,48000,9.158036947250366,0.5475567456747766,0.645,0.5716666666666667
kernel_capacity,4Dshell,24,20.0,256,3,48000,7.529910087585449,0.5583418756929771,0.625,0.5766666666666667
kernel_capacity,4Dshell,24,20.0,256,0,48000,8.500790119171143,0.5277923056003012,0.6,0.5466666666666666
kernel_capacity,4Dshell,24,20.0,256,1,48000,8.398681163787842,0.540556473713939,0.635,0.5316666666666666
kernel_capacity,4Dshell,24,25.0,256,0,48000,8.122491121292114,0.5407426622873999,0.6,0.5433333333333333
kernel_capacity,4Dshell,24,25.0,256,1,48000,7.661526679992676,0.5269826991067132,0.565,0.49833333333333335
kernel_capacity,4Dshell,24,20.0,256,6,48000,8.554360151290894,0.5684462668145017,0.64,0.5116666666666667
kernel_capacity,4Dshell,24,20.0,256,7,48000,8.795360803604126,0.5407317838538942,0.605,0.5566666666666666
kernel_capacity,4Dshell,24,25.0,256,2,48000,7.822891712188721,0.553780046442543,0.64,0.605
kernel_capacity,4Dshell,24,25.0,256,3,48000,6.638436317443848,0.5285408255057426,0.52,0.5233333333333333
kernel_capacity,4Dshell,24,25.0,256,6,48000,7.722453355789185,0.552850358779105,0.6,0.48
kernel_capacity,4Dshell,24,25.0,256,7,48000,7.298377513885498,0.5450095186293173,0.6,0.53
kernel_capacity,4Dshell,24,25.0,256,4,48000,7.704832553863525,0.547330390577603,0.6,0.5783333333333334
kernel_capacity,4Dshell,24,25.0,256,5,48000,7.90779972076416,0.5414397188343341,0.64,0.5783333333333334
kernel_capacity,4Dshell,24,30.0,256,0,48000,7.373003244400024,0.5089546243802431,0.48,0.505
